PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-18,19:04:22.64,1,1,"Hensey, Rob",802996,Left,SUS_COU1,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.6125,-0.088036,2.101731,2305.210575,129.97034,10:15,5.61673,-2.35628,6.28593,-18.83875,15.32241,-16.75237,3.96565,-1.81448,81.15441,-3.718484,-0.925676,0.420666,,,,,,,,,,,,9.30237,8.32626,2.20854,50,5.60106,-4.10323,-131.39534,-0.72319,15.9323,33.11537,-17.91355,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,8b3011c0-642b-11f0-abd5-2fc209282fa0,89.60176,,,9.45809,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:04:22.64,2025-07-18T19:04:22.6424320-04:00,2025-07-18T23:04:22.6424320Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,290af693-9d94-4ed7-827f-7d8bf367b686,54.20855,-132.45177,16.55769,5.61502,-0.15173,-8.95678,2.34755,-4.6115,7.96615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-18,19:04:35.14,1,2,"Hensey, Rob",802996,Left,SUS_COU1,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.88691,-0.043773,2.723646,2235.671602,135.355453,10:30,5.5975,-2.38075,6.16175,-19.10151,15.04398,-13.59119,3.96523,-0.99544,81.36785,-3.712722,0.27515,0.42057,,,,,,,,,,,,7.85902,8.13237,2.18041,50,5.58442,-5.67197,-131.69453,-0.64947,13.52751,33.15555,-18.17604,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,92a343f0-642b-11f0-abd5-2fc209282fa0,89.62233,,,9.51906,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:04:35.14,2025-07-18T19:04:35.1460352-04:00,2025-07-18T23:04:35.1460352Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,717f234c-55b4-403e-b8c9-b12f39aee3b7,54.33236,-132.78077,16.57778,5.59595,-0.05398,-9.08802,2.37349,-6.11516,6.76376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-07-18,19:04:46.64,1,3,"Hensey, Rob",802996,Left,SUS_COU1,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,2,0,Undefined,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.68846,-1.28428,2.552409,2268.521535,140.425019,10:45,5.59577,-2.12405,6.2433,-16.00733,18.12576,-13.92804,3.0759,-0.92896,81.39744,-4.392834,0.038603,0.420493,,,,,,,,,,,,7.98284,10.14847,1.94016,50,5.49201,-5.26017,-131.43727,-3.35783,13.71175,32.56613,-14.74248,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,9980ece0-642b-11f0-abd5-2fc209282fa0,89.63861,,,9.29102,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:04:46.64,2025-07-18T19:04:46.6468352-04:00,2025-07-18T23:04:46.6468352Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,4e0501a5-e2c6-461c-ae44-704be9e34489,54.25114,-132.48639,16.28307,5.59253,-2.88291,-7.37124,2.11673,-5.7019,6.85588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-18,19:04:59.45,1,4,"Hensey, Rob",802996,Left,SUS_COU1,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,3,0,Undefined,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,90.30973,-0.568912,1.870663,2242.545301,130.915174,10:15,5.51951,-2.23236,6.27496,-19.94596,14.55202,-15.26131,3.33263,-1.77916,80.73409,-4.40247,-0.887611,0.422735,,,,,,,,,,,,8.44863,8.10292,2.10057,50,5.46777,-3.61577,-130.91309,-1.86407,14.32517,33.55474,-18.4351,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,a1236c70-642b-11f0-abd5-2fc209282fa0,89.16326,,,9.57564,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:04:59.45,2025-07-18T19:04:59.4549248-04:00,2025-07-18T23:04:59.4549248Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,c395eada-c26c-4334-b41d-e983935a54d8,54.21831,-131.98987,16.77737,5.5181,-1.27248,-9.21755,2.22398,-4.07547,7.16259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-18,19:05:26.35,2,1,"Hensey, Rob",802996,Left,SUS_COU1,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.09301,-1.0117,2.804506,2131.18287,121.250947,10:00,5.50081,-2.25243,6.47149,-23.53112,11.7441,-17.08237,2.60957,-1.09836,79.61443,-5.510667,-0.293045,0.427471,,,,,,,,,,,,9.88611,6.88792,2.06158,50,5.41919,-5.63667,-129.12558,-2.95656,16.26537,33.28306,-20.84154,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,b147cf10-642b-11f0-abd5-2fc209282fa0,88.1755,,,9.47857,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:05:26.35,2025-07-18T19:05:26.3586304-04:00,2025-07-18T23:05:26.3586304Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,ff041d2d-0298-4fea-84d1-9d7086179ae8,54.02416,-130.1587,16.64153,5.50092,-2.30963,-10.42077,2.24439,-6.14155,8.13269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-18,19:05:40.73,2,2,"Hensey, Rob",802996,Left,SUS_COU1,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,1,0,Undefined,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.60816,-0.441206,3.104049,2216.975602,140.12556,10:45,5.49049,-2.28207,6.67213,-16.93355,18.26954,-14.16414,3.67511,-0.61986,79.4347,-3.754915,0.528894,0.427033,,,,,,,,,,,,8.41571,10.11146,2.07865,50,5.45365,-6.40529,-128.48287,-1.37374,13.79707,31.39534,-15.59693,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,b9c25f20-642b-11f0-abd5-2fc209282fa0,88.26579,,,9.17345,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:05:40.73,2025-07-18T19:05:40.7389184-04:00,2025-07-18T23:05:40.7389184Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,f6628c4a-951c-4b63-9366-d5c6555e8baa,53.82245,-129.41353,15.69767,5.48752,-0.9114,-7.79846,2.27459,-6.81428,6.89853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-18,19:05:56.65,2,3,"Hensey, Rob",802996,Left,SUS_COU1,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,1,1,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.25886,-2.342399,4.283626,2303.29603,130.550496,10:15,5.5989,-2.06921,6.38711,-15.84847,17.70745,-19.2419,2.11634,0.27488,82.13349,-5.418387,0.809243,0.416923,,,,,,,,,,,,11.37516,10.33146,1.76886,50,5.42244,-9.09636,-132.07686,-5.82053,19.7849,32.15849,-14.20445,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,c3553d00-642b-11f0-abd5-2fc209282fa0,90.40623,,,9.12537,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:05:56.65,2025-07-18T19:05:56.6569472-04:00,2025-07-18T23:05:56.6569472Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,cac4f7ef-a6ff-431b-ba90-9d7ef884f219,54.11017,-133.07386,16.07925,5.59607,-5.38015,-7.10222,2.06038,-9.70974,9.89245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-18,19:06:14.85,2,4,"Hensey, Rob",802996,Left,SUS_COU1,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,1,2,Undefined,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,90.0926,-1.958486,4.446669,2215.488528,129.985536,10:15,5.5559,-2.16822,6.48817,-17.65694,16.59887,-18.2969,2.28032,0.39761,81.18726,-5.368998,1.137678,0.421249,,,,,,,,,,,,10.94587,9.6604,1.86293,50,5.41011,-9.40311,-130.42242,-4.92868,18.58718,31.04752,-15.76975,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,ce2d6c20-642b-11f0-abd5-2fc209282fa0,89.47785,,,8.90534,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:06:14.85,2025-07-18T19:06:14.8518400-04:00,2025-07-18T23:06:14.8518400Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,668ada8a-80e1-4adf-8aff-2d755e05bae4,54.00892,-131.37329,15.52376,5.55366,-4.44571,-7.88488,2.15963,-9.97237,9.29359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-07-18,19:06:47.67,3,1,"Hensey, Rob",802996,Left,SUS_COU1,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,1,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.76571,-2.426761,5.80325,2155.239646,130.467661,10:15,5.55278,-2.23855,6.42741,-18.6308,15.94052,-17.25001,1.75687,1.67621,81.28441,-5.995545,2.698163,0.423184,,,,,,,,,,,,10.74508,9.41205,1.83122,50,5.37043,-12.49034,-129.68866,-6.02681,18.14394,29.28338,-16.28104,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,e1c12bf0-642b-11f0-abd5-2fc209282fa0,89.06864,,,8.48129,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:06:47.67,2025-07-18T19:06:47.6730368-04:00,2025-07-18T23:06:47.6730368Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,86a68c0f-3eee-4d92-a0f3-81b369826548,54.07062,-130.60456,14.64169,5.55096,-5.51759,-8.14052,2.23076,-13.05783,9.07197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-18,19:07:05.68,3,2,"Hensey, Rob",802996,Left,SUS_COU1,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,1,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.61561,-2.265248,2.424593,2192.915772,143.097041,10:45,5.61197,-2.16212,6.69443,-15.94068,18.22344,-12.77174,2.20914,-1.00789,81.04471,-5.368017,0.099058,0.420684,,,,,,,,,,,,7.52119,10.69595,2.00529,50,5.45443,-5.02136,-130.04832,-5.52173,12.71231,30.59828,-14.09574,SUS_COU1,WAS_WIL3,SkylandsStadium,Independent,FRONT,20250718-SkylandsStadium-1,ec7c0f10-642b-11f0-abd5-2fc209282fa0,89.59793,,,8.5709,,,,,,,020e5e16-bb89-43c1-9091-168ec3429000,2025-07-18,23:07:05.68,2025-07-18T19:07:05.6882176-04:00,2025-07-18T23:07:05.6882176Z,,v3,,,,"O'Brien, Keenan",1000245579,Right,SUS_COU1,c00cb610-419e-40e2-9898-8d98c851d986,53.80341,-130.94014,15.29914,5.60938,-5.11089,-7.04787,2.15704,-5.39187,6.35616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
