PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-08-13,19:15:33.48,1,1,"Ramirez, Jose",10130439,Right,TRO_AIG,"Watson, Ben",814390,Left,WAS_WIL3,Undefined,1,Top,0,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.72245,-0.829178,-4.775226,2059.719001,254.440642,2:30,5.40343,2.02221,6.0235,-26.46281,6.16611,18.23993,2.42738,-0.89146,84.34663,-5.758451,-1.506772,0.411124,,,,,,,,,,,,-10.71969,3.74469,-1.65672,50,5.32386,10.41568,-134.26613,-2.87584,-19.48925,30.1682,-25.36593,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,6a946720-789b-11f0-a881-dd742dc1f221,91.68144,,,8.37582,,,,,,,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:15:33.48,2025-08-13T19:15:33.4876672-04:00,2025-08-13T23:15:33.4876672Z,,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,3e51e2f4-7998-4a6c-a028-5702351f5124,54.48334,-135.26974,15.0841,5.4055,-2.03199,-12.68296,-2.014,11.06404,-9.74462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-08-13,19:15:46.10,1,2,"Ramirez, Jose",10130439,Right,TRO_AIG,"Watson, Ben",814390,Left,WAS_WIL3,Undefined,1,Top,0,1,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,92.39435,-3.733321,-3.321044,2037.514833,231.802719,1:45,5.51341,1.90121,6.2686,-19.74151,13.06016,15.10654,0.41532,0.09451,83.74181,-7.46853,-0.593716,0.412211,,,,,,,,,,,,-8.89721,8.29567,-1.66203,50,5.22625,7.13042,-133.71455,-9.33735,-15.91527,32.0574,-17.33475,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,721a36f0-789b-11f0-a881-dd742dc1f221,91.43973,,,8.65254,,,,,,,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:15:46.10,2025-08-13T19:15:46.1036032-04:00,2025-08-13T23:15:46.1036032Z,,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,9ac6e8a6-b417-4b18-8f06-2f338285ff7a,54.23757,-134.72666,16.0287,5.51241,-8.79006,-8.66738,-1.89508,7.63289,-7.95763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-08-13,19:16:00.80,1,3,"Ramirez, Jose",10130439,Right,TRO_AIG,"Watson, Ben",814390,Left,WAS_WIL3,Undefined,1,Top,0,2,0,Undefined,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,90.81044,-0.767622,-3.247915,1999.010183,233.177279,1:45,5.62547,1.84765,6.21333,-22.20604,11.72587,14.05127,3.06526,0.01753,81.98471,-4.976327,-0.715274,0.419252,91.84741,34.508062,20.085264,2986.451507,102.68223,67.92251,39.45037,349.24595,327.65624,21.968452,5.097059,-8.36611,6.66618,-1.61069,50,5.55666,6.89903,-131.67805,-2.45185,-14.48753,31.53859,-20.6303,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,7acec2c0-789b-11f0-a881-dd742dc1f221,89.90392,89.3632,,8.82573,,,,2.9413,3.21704,-0.05484,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:16:00.80,2025-08-13T19:16:00.8072192-04:00,2025-08-13T23:16:00.8072192Z,FlyBall,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,7ae80089-9c3e-41b0-bf71-7b8c561f118b,54.29334,-132.70237,15.76929,5.62541,-1.78181,-10.31515,-1.8424,7.36956,-7.24377,196.753373,2.94767,104.11554,-20.67404,4.78407,-0.42206,-0.16883,0.06655,-0.00907,0.00045,3.2124,76.40326,-19.09252,1.24414,-0.2081,0.02483,0.00736,-0.00245,0.00018,-0.05419,38.10702,-3.83368,0.04695,0.23755,-0.10314,0.02365,-0.00283,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2025-08-13,19:16:39.37,2,1,"Ramirez, Jose",10130439,Right,TRO_AIG,"Hacopian, Eddie",828612,Right,WAS_WIL3,Undefined,1,Top,1,0,0,Undefined,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,74878d70-789b-11f0-a881-dd742dc1f221,,,,,,,,,,,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:16:39.37,2025-08-13T19:16:39.3710000-04:00,2025-08-13T23:16:39.3710000Z,,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-08-13,19:16:40.37,2,2,"Ramirez, Jose",10130439,Right,TRO_AIG,"Hacopian, Eddie",828612,Right,WAS_WIL3,Undefined,1,Top,1,1,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.89901,-1.099797,-3.595372,1879.354525,231.27344,1:45,5.47833,2.04463,6.29394,-20.99702,11.52001,12.85887,2.71288,-0.20165,83.45094,-5.096047,-1.275517,0.410418,,,,,,,,,,,,-7.81111,6.69044,-1.78509,50,5.38708,7.89673,-134.54963,-3.23384,-14.06228,34.07819,-20.12927,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,926ee310-789b-11f0-a881-dd742dc1f221,91.83907,,,9.44807,,,,,,,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:16:40.37,2025-08-13T19:16:40.3710000-04:00,2025-08-13T23:16:40.3710000Z,,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,235ea959-42b5-475c-99a8-4216d9338e82,54.20941,-135.61158,17.0391,5.47808,-2.60656,-10.06463,-2.038,8.33494,-7.03114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-08-13,19:16:54.42,2,3,"Ramirez, Jose",10130439,Right,TRO_AIG,"Hacopian, Eddie",828612,Right,WAS_WIL3,Undefined,1,Top,1,1,1,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.41552,0.77354,-4.727477,2224.858039,46.40886,7:30,5.40748,2.08243,6.05842,-53.45979,-5.38524,-7.26071,1.67106,-2.90887,70.20615,-9.021601,-6.027489,0.499033,,,,,,,,,,,,2.31646,-2.49929,-1.71018,50,5.43965,9.41103,-110.67261,-0.12872,2.85299,21.03873,-35.25223,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,9aec5950-789b-11f0-a881-dd742dc1f221,75.53098,,,6.20937,,,,,,,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:16:54.42,2025-08-13T19:16:54.4220000-04:00,2025-08-13T23:16:54.4220000Z,,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,847fe786-34d9-4f98-839f-4d62e1c53e44,54.44942,-111.51523,10.51937,5.41653,1.28317,-17.62611,-2.08481,9.29676,1.4265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-08-13,19:17:13.82,2,4,"Ramirez, Jose",10130439,Right,TRO_AIG,"Hacopian, Eddie",828612,Right,WAS_WIL3,Undefined,1,Top,1,2,1,Undefined,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,91.31612,-0.681722,-4.003479,1962.159823,252.632094,2:30,5.55654,1.9101,6.40633,-26.82517,6.448,16.91489,2.69261,-0.36809,82.6833,-5.727725,-0.945688,0.415163,66.61134,-55.149258,-71.387315,,,,,3.01141,2.06358,-28.874144,0.034431,-10.08158,3.90906,-1.62999,50,5.49532,8.58084,-132.38774,-2.43433,-17.69544,31.16477,-25.31276,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,a65aadf0-789b-11f0-a881-dd742dc1f221,90.78957,2.77294,,8.63283,,,,2.02076,2.77294,0.37573,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:17:13.82,2025-08-13T19:17:13.8260000-04:00,2025-08-13T23:17:13.8260000Z,GroundBall,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,8591101f-38a5-48b6-95a3-de61838ded76,54.10059,-133.34954,15.58239,5.5584,-1.65313,-12.65638,-1.90324,9.12696,-8.84772,,2.02031,17.89917,,,,,,,,2.77495,-80.53701,,,,,,,,0.37705,-53.14739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
8,2025-08-13,19:17:53.13,3,1,"Ramirez, Jose",10130439,Right,TRO_AIG,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,2,0,0,Undefined,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.13631,-0.962927,-2.788173,1786.242697,257.672866,2:30,5.63107,1.92478,6.04025,-31.68931,5.01158,17.52442,2.09746,0.80117,79.70059,-6.842365,0.365622,0.436023,,,,,,,,,,,,-9.90512,3.17717,-1.71666,50,5.53848,5.46926,-126.51399,-3.17429,-16.00162,26.59314,-27.04135,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,bdca6f70-789b-11f0-a881-dd742dc1f221,86.44593,,,7.43572,,,,,,,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:17:53.13,2025-08-13T19:17:53.1370000-04:00,2025-08-13T23:17:53.1370000Z,,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,bc2a76aa-c275-4d01-a61a-4d3bc4fed190,54.46854,-127.44981,13.29657,5.63344,-2.2227,-13.52068,-1.91904,6.03237,-8.00081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-08-13,19:18:10.94,3,2,"Ramirez, Jose",10130439,Right,TRO_AIG,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,2,0,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.79702,-1.30331,-4.417548,1861.031739,241.794179,2:00,5.50751,1.79672,6.31367,-24.82604,8.91032,14.46414,2.23421,-1.07571,82.44226,-5.97259,-1.810263,0.418043,,,,,,,,,,,,-8.8026,5.37166,-1.47859,50,5.39985,9.56011,-131.52049,-3.78607,-15.30406,29.82459,-22.835,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,c86c9a70-789b-11f0-a881-dd742dc1f221,90.16412,,,8.35475,,,,,,,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:18:10.94,2025-08-13T19:18:10.9450000-04:00,2025-08-13T23:18:10.9450000Z,,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,1ff094d7-b521-45c8-8bef-756070ceb5f6,54.19191,-132.46767,14.9123,5.50858,-3.06087,-11.4175,-1.78992,10.04615,-7.65203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-08-13,19:18:29.03,3,3,"Ramirez, Jose",10130439,Right,TRO_AIG,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,2,1,1,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,93.96997,-1.317236,-5.108144,2021.576242,262.474673,2:45,5.45545,1.81874,6.46244,-28.35041,3.16512,15.49804,1.87778,-1.59488,84.99234,-6.626123,-2.309473,0.404049,,,,,,,,,,,,-9.86953,2.33378,-1.46363,50,5.34913,11.54574,-136.02935,-4.07161,-18.23476,33.72398,-27.8622,TRO_AIG,WAS_WIL3,StadeQuillorama,Independent,FRONT,20250813-StadeQuillorama-1,d36522d0-789b-11f0-a881-dd742dc1f221,93.28688,,,8.97763,,,,,,,7e22aee3-88f1-4864-aa94-d1e7b48933ec,2025-08-13,23:18:29.03,2025-08-13T19:18:29.0300000-04:00,2025-08-13T23:18:29.0300000Z,,v3,,,,"Marrero, Alan",669909,Right,TRO_AIG,d84d335f-94b4-4336-9d35-2fd3c01c2b2a,54.04631,-137.02882,16.86199,5.45756,-3.24586,-13.9311,-1.81381,12.08616,-9.11738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
