PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-25,17:37:26.82,1,1,"Herbert, Andrew",1000083218,Right,WAS_WIL3,"Zeisler, Hank",809344,Left,FLO_Y'A,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.91123,-2.589804,-3.82447,2209.450035,219.73538,1:15,5.89897,2.19744,6.6499,-17.61277,15.05139,11.53418,2.05398,-0.34698,83.04995,-5.981901,-1.730238,0.411346,,,,,,,,,,,,-7.24977,9.08028,-1.94355,50,5.71672,8.43512,-133.12553,-6.4936,-12.83844,32.10137,-16.094,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,73fa82b0-39b0-11f0-9b0c-8dd36e3447dd,91.63199,,,8.86128,,,,,,,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:37:26.82,2025-05-25T17:37:26.8299776-04:00,2025-05-25T21:37:26.8299776Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,9f63d3bf-c688-4088-8763-a4dffc2303d1,53.84733,-134.05005,16.05069,5.89706,-6.03009,-8.047,-2.19181,8.80487,-6.41922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-25,17:37:39.49,1,2,"Herbert, Andrew",1000083218,Right,WAS_WIL3,"Zeisler, Hank",809344,Left,FLO_Y'A,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.79316,-2.829382,-3.082825,2270.026447,202.799567,12:45,6.16676,1.98412,7.09298,-13.98847,18.10977,7.13583,2.42749,-0.22168,83.10167,-5.580264,-1.775252,0.407767,65.49381,40.19272,-123.711727,2284.841379,-70.02714,40.77317,-84.83031,167.02554,123.19304,-132.846852,2.972506,-4.78603,10.92253,-1.80197,50,5.99268,6.90871,-133.16038,-6.87242,-8.48804,31.86789,-12.80296,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,7b83fc00-39b0-11f0-9b0c-8dd36e3447dd,92.43619,43.24246,,8.69148,,,,1.43086,2.3953,0.24646,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:37:39.49,2025-05-25T17:37:39.4981376-04:00,2025-05-25T21:37:39.4981376Z,FlyBall,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,e2aa471c-f595-4d5b-a582-cadcdfe50156,53.40514,-133.97282,15.93395,6.16373,-6.54603,-6.40148,-1.98086,7.12511,-4.24402,40.589894,1.43097,-40.7281,-1.09311,0.88503,0.00944,-0.17011,0.08863,-0.01922,0.00156,2.39526,61.99447,-26.84929,3.17649,-0.66614,0.12425,-0.0253,0.00551,-0.00058,0.24686,-61.05474,9.11424,-1.69556,0.7868,-0.46437,0.19329,-0.04184,0.00354,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
3,2025-05-25,17:37:55.96,1,3,"Herbert, Andrew",1000083218,Right,WAS_WIL3,"Zeisler, Hank",809344,Left,FLO_Y'A,Undefined,1,Top,0,0,2,Sinker,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.33308,-0.43076,-2.206972,2219.154577,227.658303,1:30,6.03713,1.89264,6.43627,-16.3369,15.83166,16.233,4.27956,1.21619,84.06306,-3.572939,0.734617,0.408213,,,,,,,,,,,,-9.05945,8.69146,-1.74226,50,5.99883,4.49614,-134.15373,-1.44932,-16.45861,29.86531,-16.38399,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,853cd870-39b0-11f0-9b0c-8dd36e3447dd,92.33516,,,8.27002,,,,,,,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:37:55.96,2025-05-25T17:37:55.9603712-04:00,2025-05-25T21:37:55.9603712Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,83db5ff9-3842-41e4-a3e2-b84a6d4f4a27,54.0625,-135.0551,14.93265,6.03511,-0.95483,-8.192,-1.88545,4.99287,-8.2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-25,17:38:12.22,1,4,"Herbert, Andrew",1000083218,Right,WAS_WIL3,"Zeisler, Hank",809344,Left,FLO_Y'A,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.12881,-1.214773,-2.453369,1989.31075,240.782355,2:00,5.79553,2.1651,6.63338,-25.88875,11.69308,18.72336,2.52476,1.47782,77.77424,-6.118035,0.954311,0.441225,50.66776,-77.996095,44.133065,,,,,2.25862,2.16976,-29.441284,0.034924,-10.59312,6.87772,-2.00616,50,5.70263,4.62496,-123.71009,-3.33061,-16.35054,25.6012,-21.5582,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,8f0bade0-39b0-11f0-9b0c-8dd36e3447dd,85.42675,2.55698,,7.35458,,,,1.57672,2.55698,-1.48876,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:38:12.22,2025-05-25T17:38:12.2290688-04:00,2025-05-25T21:38:12.2290688Z,GroundBall,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,15d457fc-015d-45a8-a71f-bb45491d29fe,53.86713,-124.5078,12.8006,5.79595,-2.65887,-10.7791,-2.15821,5.13443,-8.17527,,1.57627,11.17335,,,,,,,,2.55995,-73.21594,,,,,,,,-1.4892,10.84024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
5,2025-05-25,17:38:44.82,2,1,"Herbert, Andrew",1000083218,Right,WAS_WIL3,"Massey, Craig",1000062618,Right,FLO_Y'A,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.12528,-1.596064,-3.891587,1929.865513,222.432196,1:30,5.88121,2.1325,7.03882,-17.52162,14.55005,12.23079,2.96736,-0.38913,82.95665,-5.005439,-1.65484,0.407598,,,,,,,,,,,,-7.73004,8.61536,-1.89924,50,5.77814,8.61016,-133.55753,-4.1412,-13.73716,33.093,-16.86361,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,a278d2e0-39b0-11f0-9b0c-8dd36e3447dd,92.47453,,,9.16863,,,,,,,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:38:44.82,2025-05-25T17:38:44.8268288-04:00,2025-05-25T21:38:44.8268288Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,d6386232-5e66-4ef4-ae75-7ce551e858bb,53.45744,-134.41149,16.5465,5.87939,-3.70604,-8.4318,-2.126,8.96464,-6.86858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-25,17:38:57.97,2,2,"Herbert, Andrew",1000083218,Right,WAS_WIL3,"Massey, Craig",1000062618,Right,FLO_Y'A,Undefined,1,Top,1,0,1,ChangeUp,Changeup,InPlay,Undefined,GroundBall,Out,1,0,,85.51782,-1.935421,-3.87448,1799.585557,261.33322,2:45,5.8115,2.30832,6.65653,-33.54647,3.62933,16.19288,1.24003,0.10659,78.66572,-8.195395,-0.928306,0.438835,97.70155,-3.639227,13.603128,,,,,23.68372,19.37393,11.041577,0.16179,-9.67544,2.77717,-2.05374,50,5.66752,7.83606,-124.13718,-5.18329,-15.09952,24.8231,-27.83999,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,aa4ee590-39b0-11f0-9b0c-8dd36e3447dd,85.89198,1.41142,,6.8521,,,,1.30099,1.41142,-0.13033,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:38:57.97,2025-05-25T17:38:57.9751424-04:00,2025-05-25T21:38:57.9751424Z,GroundBall,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,7ac44f9c-f2ae-490a-8fe0-f68d046541c7,53.8455,-124.90377,12.41155,5.81432,-4.32352,-13.91999,-2.30294,8.30237,-7.54976,124.139459,1.30134,138.96705,-20.62703,,,,,,,1.41057,-9.02526,1.92955,,,,,,,-0.12845,33.48062,-28.81567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2025-05-25,17:39:25.15,3,1,"Herbert, Andrew",1000083218,Right,WAS_WIL3,"Davis, Dalton",802990,Right,FLO_Y'A,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.848,-2.14965,-3.576989,2104.008595,217.88545,1:15,5.85944,2.24991,6.74814,-16.52804,15.91115,11.50068,2.51354,-0.0637,83.2155,-5.347941,-1.484328,0.409927,,,,,,,,,,,,-7.14618,9.39319,-2.01861,50,5.71132,7.87155,-133.17833,-5.41718,-12.70762,31.24314,-15.47076,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,ba8103d0-39b0-11f0-9b0c-8dd36e3447dd,91.94915,,,8.63249,,,,,,,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:39:25.15,2025-05-25T17:39:25.1507200-04:00,2025-05-25T21:39:25.1507200Z,,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,ce493c49-3588-400a-b419-7ace7428e995,53.74966,-134.0551,15.62157,5.85724,-4.98303,-7.73538,-2.24451,8.22816,-6.35381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-25,17:39:36.04,3,2,"Herbert, Andrew",1000083218,Right,WAS_WIL3,"Davis, Dalton",802990,Right,FLO_Y'A,Undefined,1,Top,2,0,1,Slider,Slider,InPlay,Undefined,LineDrive,Out,1,0,,83.94233,-1.00449,-2.244477,2206.962846,202.243533,12:45,5.93406,2.12725,6.54401,-33.83045,5.17272,1.57768,2.19283,0.19923,76.49682,-7.343708,-1.957761,0.449491,80.67953,9.914872,-34.472471,2474.588631,,,,122.52453,106.7504,-37.16663,1.142513,-1.52453,3.39166,-1.97256,50,5.85015,4.72196,-121.91591,-3.11933,-2.27099,26.26601,-27.12172,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,c1051b10-39b0-11f0-9b0c-8dd36e3447dd,83.85575,7.32178,,7.44551,,,,2.12457,2.28273,-0.21177,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:39:36.04,2025-05-25T17:39:36.0408576-04:00,2025-05-25T21:39:36.0408576Z,GroundBall,v3,,,,"Hernandez, Jommer",678912,Right,WAS_WIL3,2bdbaa87-8db3-42e4-9589-eca22924c2a9,53.95557,-122.76515,13.133,5.93683,-2.24242,-13.56086,-2.12642,4.79539,-1.13549,69.840874,2.12457,96.09391,-12.37347,1.57845,-0.32755,0.04891,-0.0085,0.00169,-0.00017,2.28273,20.37459,-21.54402,2.08699,-0.40769,0.08756,-0.01464,0.0025,-0.00029,-0.21177,-65.97556,0.78229,0.46222,-0.11524,0.03385,-0.00637,0.00112,-0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-05-25,17:41:49.26,1,1,"Gamelin, Shaun",815222,Right,FLO_Y'A,"Morton, Kadon",683170,Right,WAS_WIL3,Undefined,1,Bottom,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,92.63406,-3.083737,-2.930507,2217.546323,209.471448,1:00,6.39374,1.50252,5.22244,-11.01898,22.57182,12.12012,2.56963,-0.24507,84.3534,-5.214762,-0.786232,0.41714,86.21646,45.286801,67.999531,5935.366421,,,,,80.27777,,,-6.89563,12.48709,-1.24155,50,6.10115,6.29073,-134.08415,-7.54302,-12.53381,29.42071,-9.47702,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,106451d0-39b1-11f0-9b0c-8dd36e3447dd,90.35923,70.85997,,8.28066,,,,0.07412,2.91396,0.29873,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:41:49.26,2025-05-25T17:41:49.2655616-04:00,2025-05-25T21:41:49.2655616Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,dd6fdf37-2334-46de-a82f-8179ec1b2c0c,55.27691,-135.23705,14.71035,6.38946,-7.17165,-4.73851,-1.49769,6.78189,-6.2669,,0.07412,33.32769,-21.88267,7.84682,-2.3186,0.61748,-0.15311,0.03001,-0.00326,2.91396,89.86052,-28.58685,3.44428,-0.48059,0.01795,0.01618,-0.00651,0.00108,0.29873,82.48699,-11.92049,1.60841,-0.03084,-0.08868,0.04089,-0.01201,0.00176,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
10,2025-05-25,17:42:08.18,1,2,"Gamelin, Shaun",815222,Right,FLO_Y'A,"Morton, Kadon",683170,Right,WAS_WIL3,Undefined,1,Bottom,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.70801,-0.242914,-1.676338,2136.182773,201.239721,12:45,6.46004,1.30959,5.16385,-9.73111,23.77068,8.81497,5.42038,0.46594,84.2108,-2.155299,-0.116644,0.416587,,,,,,,,,,,,-4.82406,12.1717,-1.16007,50,6.43047,3.50042,-134.42805,-0.80176,-8.81027,29.66745,-9.94462,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250525-WildThingsPark-1,1b93efc0-39b1-11f0-9b0c-8dd36e3447dd,90.47919,,,8.4972,,,,,,,e39786ce-9b5b-4a77-9584-d616713dbf77,2025-05-25,21:42:08.18,2025-05-25T17:42:08.1830912-04:00,2025-05-25T21:42:08.1830912Z,,v3,,,,"Richardson, Zade",687887,Right,FLO_Y'A,0d3a8a54-5d59-445d-ad68-fceee1320206,55.33279,-135.59986,14.83372,6.45438,-0.40896,-4.97231,-1.3052,3.84841,-4.40514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
