PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-06-04,18:09:01.52,1,1,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"McArthur, Liam",1000429109,Left,JOL_SLA,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.49251,-1.857384,1.653384,1957.293757,164.142384,11:30,6.77758,-1.05638,5.46005,-19.50804,17.27458,-4.60221,3.41201,0.10814,80.74426,-5.492724,0.834256,0.436509,,,,,,,,,,,,2.72823,9.50312,0.91393,50,6.60061,-3.467,-127.03836,-4.75863,4.50466,23.50422,-16.48331,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,856cc700-4190-11f0-8d86-553e4cc29159,86.34982,,,6.74825,,,,,,,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:09:01.52,2025-06-04T18:09:01.5240704-04:00,2025-06-04T22:09:01.5240704Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,9d2147ae-17a5-4dba-b5c8-951fed122662,55.03913,-127.96728,11.75211,6.77581,-4.10719,-8.24165,1.05447,-3.64503,2.25233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-06-04,18:09:17.00,1,2,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"McArthur, Liam",1000429109,Left,JOL_SLA,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.70824,-2.851785,1.719082,1968.382113,154.467266,11:15,6.76172,-1.01128,5.59075,-20.03088,16.58194,-7.385,2.42623,-0.02102,80.73891,-6.58566,0.401027,0.4355,68.52419,54.595285,-101.626407,5370.522464,,,,,17.61371,,,4.20717,9.50091,0.86871,50,6.50381,-3.5065,-127.24791,-6.98904,6.93742,24.71963,-16.50745,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,8ec2ea00-4190-11f0-8d86-553e4cc29159,86.54986,26.53904,,6.96933,,,,1.2095,2.31162,0.06134,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:09:17.00,2025-06-04T18:09:17.0078720-04:00,2025-06-04T22:09:17.0078720Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,efb36fdb-f23d-4bd3-b482-172163274d8f,54.90918,-128.19804,12.35982,6.76025,-6.35456,-8.25372,1.00862,-3.77315,3.46871,38.821143,1.21255,-11.86154,-7.64665,,,,,,,2.31157,81.91956,-17.14346,,,,,,,0.05951,-56.95514,6.80038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
3,2025-06-04,18:09:35.90,1,3,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"McArthur, Liam",1000429109,Left,JOL_SLA,Undefined,1,Top,0,0,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.32088,2.876553,-0.044074,2707.558422,308.612559,4:15,6.39486,-1.46704,5.29442,-60.62948,-10.09753,14.63583,4.04554,-0.28877,69.02344,-8.123568,2.555588,0.511628,,,,,,,,,,,,-7.31122,-5.36079,1.46004,50,6.61242,-0.48407,-109.28091,3.42604,-8.80994,19.89634,-38.63376,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,99fce830-4190-11f0-8d86-553e4cc29159,73.67155,,,6.29744,,,,,,,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:09:35.90,2025-06-04T18:09:35.9065600-04:00,2025-06-04T22:09:35.9065600Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,214fdb08-0e26-4e66-9146-b770cb7d1d09,55.20863,-110.22514,9.94817,6.40632,5.25951,-19.31688,1.47309,-0.06597,-4.40497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-06-04,18:09:51.98,1,4,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"McArthur, Liam",1000429109,Left,JOL_SLA,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,90.35134,-2.197163,2.941758,2134.418932,156.475051,11:15,6.78369,-0.93909,5.6496,-16.78158,17.61099,-7.21622,3.33217,1.20582,83.12649,-5.353622,1.654816,0.422089,,,,,,,,,,,,4.40307,9.81158,0.69407,50,6.58645,-6.416,-131.05217,-5.56155,7.71796,25.64661,-14.97575,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,a389ab90-4190-11f0-8d86-553e4cc29159,89.29977,,,7.22485,,,,,,,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:09:51.98,2025-06-04T18:09:51.9805952-04:00,2025-06-04T22:09:51.9805952Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,c9e1a2ee-2119-4c2a-89bd-478784674d20,54.84942,-131.99778,12.8233,6.78133,-5.00938,-7.48788,0.93589,-6.70057,3.85898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-06-04,18:10:08.56,1,5,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"McArthur, Liam",1000429109,Left,JOL_SLA,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,88.60807,-3.431732,1.86444,2006.395779,147.850158,11:00,6.75692,-0.77724,5.55871,-19.83363,16.04052,-9.40461,1.89228,0.18162,81.79402,-7.113782,0.186737,0.431084,92.88427,-5.421132,-12.35772,,,,,19.28479,19.28479,-12.105313,0.135319,5.26756,9.34036,0.62265,50,6.44707,-3.78343,-128.51077,-8.36717,8.88032,24.61312,-16.4276,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,ad7cd1e0-4190-11f0-8d86-553e4cc29159,87.43634,1.77331,,6.81405,,,,1.24305,1.77331,-0.1234,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:10:08.56,2025-06-04T18:10:08.5648896-04:00,2025-06-04T22:10:08.5648896Z,GroundBall,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,6a40c0c2-2423-4e5f-90f3-d5f3ecb8bb1d,54.94207,-129.45384,12.30656,6.75561,-7.73773,-8.2138,0.77413,-4.12368,4.44016,164.834956,1.24339,132.44559,-16.93772,,,,,,,1.77308,-12.8482,-1.87133,,,,,,,-0.12338,-29.02686,0.38474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2025-06-04,18:10:40.86,2,1,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"Valdez, Antonio",1000055968,Right,JOL_SLA,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.79339,-2.92202,1.469465,2006.749488,153.709876,11:00,6.75856,-1.08822,5.59526,-18.60832,16.98414,-7.87071,2.47639,-0.37181,81.98086,-6.392819,0.064414,0.429388,,,,,,,,,,,,4.37547,9.68087,0.96752,50,6.49577,-2.97005,-128.87911,-7.18331,7.42755,24.45553,-15.74043,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,c0c027c0-4190-11f0-8d86-553e4cc29159,87.78168,,,6.81253,,,,,,,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:10:40.86,2025-06-04T18:10:40.8643584-04:00,2025-06-04T22:10:40.8643584Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,eb136a0d-e2b5-4e2a-92ad-56314a191c34,54.90513,-129.80654,12.22776,6.75687,-6.58637,-7.87021,1.08549,-3.25173,3.71378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-06-04,18:10:57.39,2,2,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"Valdez, Antonio",1000055968,Right,JOL_SLA,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,89.24433,-2.715222,2.234811,2168.855002,162.854943,11:30,6.78313,-1.00021,5.53756,-16.39875,19.05517,-5.54213,2.87488,0.62783,82.02125,-5.801453,1.247597,0.428552,55.93411,17.031928,-24.187183,2173.820737,,,,107.04012,105.84814,-24.968808,1.557098,3.40689,10.70217,0.81014,50,6.53665,-4.81241,-129.44342,-6.65787,5.81185,25.64272,-13.91706,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,ca9c43a0-4190-11f0-8d86-553e4cc29159,87.95303,11.11456,,7.22309,,,,1.20304,2.80364,-0.63347,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:10:57.39,2025-06-04T18:10:57.3963264-04:00,2025-06-04T22:10:57.3963264Z,GroundBall,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,6d667532-18c0-436f-817b-6a40fc8493c4,54.96266,-130.42281,12.82136,6.78079,-6.12633,-6.95853,0.99818,-5.03439,2.90593,116.332208,1.20302,71.55613,-7.26802,1.01439,-0.99093,1.23816,-0.97666,0.39724,-0.06346,2.80365,24.0275,-18.06144,1.02523,0.14188,-0.40738,0.34497,-0.13689,0.02075,-0.63345,-32.13978,2.40292,-0.30438,0.51652,-0.69306,0.55136,-0.2239,0.03564,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2025-06-04,18:11:31.04,3,1,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"Marine, Braylin",815242,Right,JOL_SLA,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.99272,-3.106534,1.549064,1986.50536,154.759978,11:15,6.87961,-0.94146,5.58356,-17.34005,17.37202,-7.69981,2.52959,-0.13613,82.98642,-6.349162,0.175005,0.424045,,,,,,,,,,,,4.30536,9.91973,0.81351,50,6.60111,-3.19602,-130.57573,-7.64952,7.49535,25.34037,-14.90442,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,dea42200-4190-11f0-8d86-553e4cc29159,88.88786,,,7.0063,,,,,,,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:11:31.04,2025-06-04T18:11:31.0476800-04:00,2025-06-04T22:11:31.0476800Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,872944db-9e12-4b3a-8789-4c041a6e4131,54.91656,-131.52641,12.67018,6.87761,-7.09036,-7.45221,0.93868,-3.47722,3.74767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-06-04,18:11:44.78,3,2,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"Marine, Braylin",815242,Right,JOL_SLA,Undefined,1,Top,2,0,1,Splitter,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.37887,-1.629752,1.98477,1526.015455,125.068339,10:15,6.58207,-1.00223,5.47251,-33.96648,7.85599,-9.31438,2.22506,0.07969,75.7329,-7.855501,0.324594,0.465453,,,,,,,,,,,,5.26445,4.79961,0.83437,50,6.41559,-3.76528,-119.53062,-4.55611,7.62228,22.87449,-25.22476,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,e6dacb40-4190-11f0-8d86-553e4cc29159,80.98004,,,6.64597,,,,,,,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:11:44.78,2025-06-04T18:11:44.7830016-04:00,2025-06-04T22:11:44.7830016Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,2f3b1c9f-bc2a-4ce1-a04f-2c13fb067c35,55.02735,-120.48886,11.43725,6.58431,-3.49942,-12.61238,0.99879,-4.08459,3.81114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-06-04,18:12:00.00,3,3,"Puccetti, Dominic",1000266076,Left,WAS_WIL3,"Marine, Braylin",815242,Right,JOL_SLA,Undefined,1,Top,2,0,2,Curveball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,82.43519,-1.429675,0.468903,3369.551003,143.518177,10:45,6.5519,-1.12078,5.5173,-31.76447,10.03859,-6.41638,2.56775,-1.21703,75.46171,-7.285138,-0.676106,0.465345,,,,,,,,,,,,3.36036,5.89961,1.08429,50,6.40631,-0.71384,-119.61756,-4.0451,4.85597,23.63811,-23.64871,WAS_WIL3,JOL_SLA,WildThingsPark,Independent,FRONT,20250604-WildThingsPark-1,efd512a0-4190-11f0-8d86-553e4cc29159,80.99884,,,6.97348,,,,,,,7bdcebb9-bfd7-4f30-8cce-9a45beb58292,2025-06-04,22:12:00.00,2025-06-04T18:12:00.0086528-04:00,2025-06-04T22:12:00.0086528Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,e65d26fe-43aa-4c25-bf7b-d2ebf888b074,54.98021,-120.5977,11.81905,6.55371,-3.06452,-11.82435,1.11806,-0.91519,2.42799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
