PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-23,19:07:46.39,1,1,"Perez, Marlon",800211,Left,WAS_WIL3,"Zeisler, Hank",809344,Left,FLO_Y'A,Undefined,1,Top,0,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.16252,-0.235975,2.110652,2170.471322,143.456199,10:45,5.76436,-1.92307,5.71896,-22.19938,17.99178,-12.27528,3.69444,-0.97903,75.9501,-4.447513,-0.083756,0.456286,,,,,,,,,,,,6.86311,9.61941,1.75415,50,5.73117,-3.98247,-121.99553,-1.15335,10.21562,26.75999,-17.85573,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,bda47920-382a-11f0-ba2b-632a78b8dd87,82.60711,,,8.21242,,,,,,,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:07:46.39,2025-05-23T19:07:46.3910000-04:00,2025-05-23T23:07:46.3910000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,876fe451-8d77-489a-bfc9-947cd28d962e,54.7771,-123.03893,13.38,5.76257,-0.45713,-8.92786,1.91719,-4.38079,5.10781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-05-23,19:07:59.22,1,2,"Perez, Marlon",800211,Left,WAS_WIL3,"Zeisler, Hank",809344,Left,FLO_Y'A,Undefined,1,Top,0,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.67993,-2.731974,3.307574,2111.069625,143.205225,10:45,5.76436,-1.92088,5.83791,-19.48576,20.40163,-14.33847,1.59519,-0.03816,77.0158,-6.405038,0.741414,0.454558,,,,,,,,,,,,8.26973,11.55363,1.6599,50,5.52984,-6.46129,-121.34931,-6.35615,12.40673,22.38423,-14.84061,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,c5430110-382a-11f0-ba2b-632a78b8dd87,82.92112,,,6.66413,,,,,,,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:07:59.22,2025-05-23T19:07:59.2280000-04:00,2025-05-23T23:07:59.2280000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,c6aab2c8-6ce8-47f4-901c-492a1f9ea2ee,54.6635,-122.20651,11.19211,5.76237,-5.78782,-7.42031,1.91643,-6.93641,6.20337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2025-05-23,19:08:15.15,1,3,"Perez, Marlon",800211,Left,WAS_WIL3,"Zeisler, Hank",809344,Left,FLO_Y'A,Undefined,1,Top,0,1,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.15564,-1.097297,2.110819,2261.863363,240.977444,2:00,5.49316,-2.3207,5.70161,-35.24155,13.18131,20.44922,1.53307,1.35118,69.55419,-7.650014,5.76178,0.500837,,,,,,,,,,,,-9.65174,7.61796,2.1307,50,5.37964,-4.89201,-111.71785,-3.1797,-11.89169,24.83802,-22.78816,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,cecd0550-382a-11f0-ba2b-632a78b8dd87,75.25887,,,7.60145,,,,,,,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:08:15.15,2025-05-23T19:08:15.1520000-04:00,2025-05-23T23:08:15.1520000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,9ef3490e-5a8c-4506-99ef-b278a12eba7c,54.79497,-112.77887,12.41901,5.49467,-2.20625,-11.39408,2.32882,-4.38403,-5.94584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-05-23,19:08:33.02,1,4,"Perez, Marlon",800211,Left,WAS_WIL3,"Zeisler, Hank",809344,Left,FLO_Y'A,Undefined,1,Top,0,2,1,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,75.57959,0.003559,2.13759,2258.525403,226.078341,1:30,5.47032,-2.44338,5.81568,-38.03258,12.53949,10.90048,2.30425,0.4535,67.48075,-7.124591,4.088539,0.511831,100.54735,16.126701,8.626721,3387.945633,108.47334,20.26166,18.26228,225.22864,225.22864,11.305104,2.038438,-4.76599,6.96827,2.26173,50,5.44862,-4.48451,-109.37086,-1.07469,-5.58904,25.01039,-24.0024,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,d96fa580-382a-11f0-ba2b-632a78b8dd87,73.64234,20.37867,,8.09884,,,,2.00418,2.38731,-0.36414,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:08:33.02,2025-05-23T19:08:33.0250000-04:00,2025-05-23T23:08:33.0250000Z,LineDrive,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,fc5a9278-ff78-4774-aed4-e82096f84930,54.67891,-110.43562,12.5052,5.47262,-0.05283,-12.0012,2.44758,-4.24657,-2.79452,317.31202,2.00418,140.06352,-19.35062,2.35515,-0.49727,0.09058,-0.01503,0.00228,-0.00019,2.38731,40.96136,-26.21238,3.81928,-0.82229,0.1961,-0.03704,0.00515,-0.00039,-0.36414,21.24945,1.18247,-0.63067,0.14738,-0.03803,0.00782,-0.00111,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2025-05-23,19:09:16.12,2,1,"Perez, Marlon",800211,Left,WAS_WIL3,"Davis, Dalton",802990,Right,FLO_Y'A,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.90401,-2.631933,2.659115,2274.342411,151.089462,11:00,5.83708,-1.7099,5.95976,-19.10281,18.09072,-9.29209,1.80022,-0.01664,79.11663,-6.255638,0.99101,0.43894,,,,,,,,,,,,5.58079,10.45382,1.504,50,5.61725,-5.47582,-125.96382,-6.34547,8.91253,27.02644,-15.47921,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,f316b960-382a-11f0-ba2b-632a78b8dd87,85.87154,,,7.78738,,,,,,,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:09:16.12,2025-05-23T19:09:16.1240000-04:00,2025-05-23T23:09:16.1240000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,e6c77cf7-aacf-455d-adeb-69b694ea06b1,54.53935,-126.93403,13.51322,5.83507,-5.78979,-7.7396,1.70632,-5.79577,4.45626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-05-23,19:09:33.23,2,2,"Perez, Marlon",800211,Left,WAS_WIL3,"Davis, Dalton",802990,Right,FLO_Y'A,Undefined,1,Top,0,0,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.51237,-0.129149,1.333804,2453.288917,250.939997,2:15,5.58324,-2.24899,6.04805,-41.82341,4.46185,8.68745,1.97837,-0.29002,71.20425,-7.862644,2.898674,0.489658,65.12707,59.277131,106.155812,3028.255966,,,,,21.93386,,,-4.10461,2.77059,2.14051,50,5.55073,-2.93155,-112.62234,-1.49634,-5.25547,21.04671,-28.62664,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,fd562af0-382a-11f0-ba2b-632a78b8dd87,76.97708,35.13757,,6.30812,,,,1.20773,1.93804,0.24305,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:09:33.23,2025-05-23T19:09:33.2300000-04:00,2025-05-23T23:09:33.2300000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,5fd3e900-693c-4f04-b3c5-b2245d33853c,54.45175,-113.45123,10.52335,5.58745,-0.36892,-14.31332,2.25189,-2.72458,-2.62774,329.075192,1.22299,-14.0136,-5.42037,,,,,,,1.95542,81.62359,-25.32797,,,,,,,0.2528,46.5981,-7.00123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,
7,2025-05-23,19:09:54.67,2,3,"Perez, Marlon",800211,Left,WAS_WIL3,"Davis, Dalton",802990,Right,FLO_Y'A,Undefined,1,Top,0,0,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.88014,1.06994,1.176837,2567.857104,271.543114,3:00,5.87627,-1.72755,5.55904,-47.25357,1.11689,19.20702,2.93844,0.97271,70.02581,-7.598931,4.602169,0.500566,,,,,,,,,,,,-9.34304,0.71224,1.61293,50,5.93773,-3.02372,-111.5326,0.55995,-11.62241,22.38824,-31.28803,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,0a1ff0e0-382b-11f0-ba2b-632a78b8dd87,75.29963,,,6.85434,,,,,,,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:09:54.67,2025-05-23T19:09:54.6720000-04:00,2025-05-23T23:09:54.6720000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,c68b7dc8-d61f-4729-89b2-41b949bbb2c4,54.94087,-112.52002,11.19412,5.88261,1.9399,-15.64402,1.73499,-2.51112,-5.81121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-05-23,19:10:12.03,2,4,"Perez, Marlon",800211,Left,WAS_WIL3,"Davis, Dalton",802990,Right,FLO_Y'A,Undefined,1,Top,0,1,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,78.13169,1.212853,-0.143618,2451.291029,260.205713,2:45,5.51824,-2.18308,5.7825,-41.58384,4.77059,18.5595,3.18153,-0.77008,71.0238,-6.485678,3.181693,0.490024,,,,,,,,,,,,-9.44276,2.55685,2.18394,50,5.5936,-0.42929,-113.39561,1.09679,-12.16662,22.75809,-28.87966,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,145a0b40-382b-11f0-ba2b-632a78b8dd87,76.91962,,,7.10789,,,,,,,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:10:12.03,2025-05-23T19:10:12.0320000-04:00,2025-05-23T23:10:12.0320000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,d3fc9354-b20e-4024-9551-ddd574c3fb37,54.71594,-114.33816,11.37905,5.52341,2.29287,-14.43983,2.19128,0.07461,-6.08331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-05-23,19:10:41.58,3,1,"Perez, Marlon",800211,Left,WAS_WIL3,"Reeves, TJ",1000259604,Right,FLO_Y'A,Undefined,1,Top,1,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,76.5613,-0.930303,1.64054,2479.064635,278.121971,3:15,5.65856,-1.75037,5.63631,-49.86601,-1.45669,20.99694,0.63469,1.53034,70.57301,-9.99556,5.395674,0.500767,,,,,,,,,,,,-10.36379,-0.15752,1.59652,50,5.547,-3.93031,-111.17505,-3.37306,-12.85756,21.5582,-32.36949,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,2610cdb0-382b-11f0-ba2b-632a78b8dd87,75.2694,,,5.98829,,,,,,,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:10:41.58,2025-05-23T19:10:41.5810000-04:00,2025-05-23T23:10:41.5810000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,dfd96473-fdba-4a4d-97dd-3ae751368804,54.86712,-112.11487,10.7791,5.66329,-1.96193,-16.18475,1.75564,-3.36979,-6.42878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-05-23,19:11:03.79,3,2,"Perez, Marlon",800211,Left,WAS_WIL3,"Reeves, TJ",1000259604,Right,FLO_Y'A,Undefined,1,Top,1,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.7762,-3.001072,4.1349,2311.985184,143.383059,10:45,5.7875,-1.65054,5.91649,-17.19068,18.38509,-12.80855,1.55993,1.12621,81.26154,-6.259069,1.842913,0.429288,,,,,,,,,,,,7.77512,10.62922,1.32631,50,5.53654,-8.77429,-128.54895,-7.26205,13.02477,26.36745,-14.36811,WAS_WIL3,FLO_Y'A,WildThingsPark,Independent,FRONT,20250523-WildThingsPark-1,33436790-382b-11f0-ba2b-632a78b8dd87,87.80225,,,7.51466,,,,,,,2592d9cb-9901-44de-94df-a108c5f9b69a,2025-05-23,23:11:03.79,2025-05-23T19:11:03.7950000-04:00,2025-05-23T23:11:03.7950000Z,,v3,,,,"Estrada, Willie",1000058686,Right,WAS_WIL3,7c5d8a8d-557d-4ecf-b3c2-6f913d25e59f,54.58464,-129.48592,13.18372,5.78553,-6.75148,-7.18406,1.64633,-9.23713,6.51238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
