PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-07-03,19:04:03.03,1,1,"Schwaab, Andrew",665321,Right,GAT_GRI,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.82753,-0.716996,-3.134584,2395.053213,252.658799,2:30,4.73548,2.07224,5.70916,-28.99403,6.5765,17.5741,1.65024,0.6133,81.55602,-6.06947,0.00631,0.429256,,,,,,,,,,,,-9.76682,3.87087,-1.82045,50,4.6573,6.30506,-128.92442,-2.64283,-16.50292,25.82015,-25.63344,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,652756e0-586a-11f0-be59-5d83470f2add,87.8087,,,7.27151,,,,,,,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:04:03.03,2025-07-03T19:04:03.0355968-05:00,2025-07-04T00:04:03.0355968Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,6df1042b-d985-4b07-9264-abbda28d730e,54.7934,-129.88086,12.91008,4.73761,-1.69331,-12.81672,-2.06533,6.91637,-8.25146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-07-03,19:04:17.61,1,2,"Schwaab, Andrew",665321,Right,GAT_GRI,"Chayka, Robert",1000424948,Right,WAS_WIL3,Undefined,1,Top,0,0,1,Undefined,Sinker,InPlay,Undefined,LineDrive,Single,0,0,,88.19826,-0.40759,-3.415278,2385.72256,256.44574,2:30,4.72383,1.80313,5.73086,-30.62769,5.36685,17.78072,1.79123,0.10031,81.1144,-6.05272,-0.237467,0.431807,89.5961,21.082446,-12.723036,1428.367491,106.92207,33.11932,-25.83856,277.80897,277.80897,-15.758043,3.2889,-9.99796,3.14937,-1.52934,50,4.67074,6.89822,-128.02953,-1.99056,-16.68774,25.04592,-26.9174,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,6ddd6950-586a-11f0-be59-5d83470f2add,87.29004,37.11829,,7.08386,,,,1.65103,1.85655,-0.09851,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:04:17.61,2025-07-03T19:04:17.6110592-05:00,2025-07-04T00:04:17.6110592Z,LineDrive,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,80515ef8-0452-4ed5-845a-1021174c45b5,54.77292,-128.95985,12.52296,4.72611,-0.99072,-13.4587,-1.79709,7.51808,-8.34387,160.309089,1.65109,119.59855,-19.91272,4.17833,-0.84347,0.14751,-0.0191,0.00129,-1E-05,1.85649,47.27052,-17.71139,1.65088,-0.39003,0.09871,-0.02194,0.00344,-0.00025,-0.09852,-27.00337,2.25487,-0.52088,0.10911,-0.0199,0.00261,-0.00023,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
3,2025-07-03,19:04:55.08,2,1,"Schwaab, Andrew",665321,Right,GAT_GRI,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,0,0,Undefined,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.6218,-0.206811,-3.771723,2505.070613,240.605423,2:00,4.88142,1.97338,5.71013,-24.80785,11.29182,17.88788,2.621,-0.05514,80.45705,-4.842429,-0.579906,0.432437,,,,,,,,,,,,-10.17674,6.1563,-1.66826,50,4.84881,7.68853,-128.41221,-1.29883,-16.9023,27.91159,-21.94921,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,84326c00-586a-11f0-be59-5d83470f2add,87.1628,,,8.16475,,,,,,,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:04:55.08,2025-07-03T19:04:55.0808576-05:00,2025-07-04T00:04:55.0808576Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,f224099f-138b-42ed-8899-d00e4b0ce37a,54.7907,-129.44933,13.9558,4.88192,-0.48326,-10.9746,-1.96562,8.31657,-8.45115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-07-03,19:05:15.62,2,2,"Schwaab, Andrew",665321,Right,GAT_GRI,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,0,1,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.99554,-0.099552,-4.100261,2281.749972,261.050537,2:45,4.65496,2.06707,5.36473,-39.5999,4.0739,16.83776,1.26138,-0.38128,74.07072,-7.339889,-1.114239,0.475644,,,,,,,,,,,,-9.64229,2.47669,-1.71086,50,4.61778,7.7263,-117.31873,-1.57155,-13.41292,22.59182,-28.72885,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,90743d40-586a-11f0-be59-5d83470f2add,79.24509,,,6.92481,,,,,,,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:05:15.62,2025-07-03T19:05:15.6269568-05:00,2025-07-04T00:05:15.6269568Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,d5e1ff72-b4c8-4f58-ad77-d6a00c772ae2,55.13773,-118.30396,11.29591,4.659,-0.31869,-14.36443,-2.06056,8.31123,-6.70646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-07-03,19:05:38.46,2,3,"Schwaab, Andrew",665321,Right,GAT_GRI,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,0,2,Undefined,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,79.41397,1.931791,-2.84921,3220.773693,51.839674,7:45,4.96441,1.85404,5.12934,-55.4705,-9.33796,-13.82513,2.16424,-1.98375,72.44557,-8.093038,-5.290281,0.488849,,,,,,,,,,,,6.12339,-5.04071,-1.57467,50,5.10211,6.27295,-115.04378,1.90704,8.11042,23.67525,-38.85045,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,9e49f4f0-586a-11f0-be59-5d83470f2add,77.10441,,,6.9684,,,,,,,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:05:38.46,2025-07-03T19:05:38.4622080-05:00,2025-07-04T00:05:38.4622080Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,32ebce54-2174-4e91-b8a4-b89048fd2350,55.37584,-116.14482,11.83763,4.97141,3.71383,-19.42522,-1.85763,5.89577,4.05521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-07-03,19:06:01.04,2,4,"Schwaab, Andrew",665321,Right,GAT_GRI,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,1,2,Undefined,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.63616,1.631305,-1.616589,2126.216037,269.136605,3:00,4.77537,1.86916,5.17438,-46.27794,1.99165,18.76143,2.45504,1.91093,70.22573,-6.83541,1.706831,0.500044,,,,,,,,,,,,-9.77453,1.02681,-1.73329,50,4.89254,2.39817,-112.45708,1.60549,-12.34955,22.94374,-30.87673,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,ab808670-586a-11f0-be59-5d83470f2add,75.37825,,,7.41043,,,,,,,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:06:01.04,2025-07-03T19:06:01.0405376-05:00,2025-07-04T00:06:01.0405376Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,17ecc398-53b9-4f31-9824-d841f331d7b1,55.32531,-113.53837,11.47187,4.78258,3.06064,-15.43837,-1.86003,2.98018,-6.17477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-07-03,19:06:23.62,2,5,"Schwaab, Andrew",665321,Right,GAT_GRI,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,2,2,Undefined,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.19284,0.924364,0.490061,3217.436013,80.827867,8:45,4.61361,1.97867,5.14274,-48.3042,-1.18366,-16.66639,1.45875,1.05126,71.63824,-7.845897,-2.463577,0.494056,,,,,,,,,,,,8.50717,-0.47681,-2.01088,50,4.6626,-0.30711,-113.49519,0.14601,11.04816,21.6145,-32.79325,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,b8fef660-586a-11f0-be59-5d83470f2add,76.29176,,,6.5546,,,,,,,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:06:23.62,2025-07-03T19:06:23.6255232-05:00,2025-07-04T00:06:23.6255232Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,2bbc08a7-5f7f-474d-aa78-d2033e2959fc,55.36086,-114.51158,10.80725,4.61948,1.68807,-16.39663,-1.98422,-0.82663,5.52408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-07-03,19:07:13.66,2,6,"Schwaab, Andrew",665321,Right,GAT_GRI,"Liquori, Jeff",824666,Left,WAS_WIL3,Undefined,1,Top,0,3,2,Undefined,Slider,InPlay,Undefined,FlyBall,Out,2,0,,79.589,2.592851,-1.034092,3256.362822,84.811567,8:45,4.6667,2.23712,5.27414,-45.50975,0.17264,-15.18072,3.31176,0.00063,72.11298,-5.735942,-3.724268,0.486459,83.1029,24.838842,-13.735606,3082.643713,104.9013,40.7524,-33.10116,269.25728,265.93914,-24.29751,3.594402,7.27804,-0.28323,-2.13092,50,4.87037,2.70109,-115.30815,3.63859,9.68573,23.75217,-32.55096,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,d6ec6680-586a-11f0-be59-5d83470f2add,77.48336,44.67746,,7.47601,,,,0.973,3.27541,0.03202,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:07:13.66,2025-07-03T19:07:13.6657408-05:00,2025-07-04T00:07:13.6657408Z,LineDrive,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,93777abb-2f1a-467b-a820-fc879c06d85e,55.2272,-116.37992,11.87609,4.67305,5.10738,-16.27548,-2.24294,2.26405,4.84286,135.721267,0.9733,107.43497,-18.96707,3.78474,-0.65071,0.06807,0.00276,-0.00229,0.00026,3.2747,51.22284,-17.88459,1.86386,-0.59185,0.18072,-0.0407,0.00613,-0.00044,0.03247,-26.27783,-2.49008,0.4625,-0.01303,-0.00773,-0.00193,0.00111,-0.00012,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
9,2025-07-03,19:07:50.67,3,1,"Schwaab, Andrew",665321,Right,GAT_GRI,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,2,0,0,Undefined,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.98545,-0.351221,-2.104052,2286.747827,252.392265,2:30,4.78765,1.97569,5.93775,-28.456,6.67473,17.6319,2.09026,1.49216,81.60549,-5.634535,1.0636,0.426594,,,,,,,,,,,,-9.59071,3.85697,-1.81755,50,4.74357,4.00737,-129.28663,-1.76461,-16.26689,26.42707,-25.63219,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,ecd70ea0-586a-11f0-be59-5d83470f2add,88.35665,,,7.37996,,,,,,,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:07:50.67,2025-07-03T19:07:50.6733568-05:00,2025-07-04T00:07:50.6733568Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,f83288d1-adc4-4d94-a2b5-54f8b64fbf8b,54.56442,-130.21629,13.21353,4.78979,-0.86291,-12.8161,-1.96858,4.57961,-8.13345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-07-03,19:08:04.91,3,2,"Schwaab, Andrew",665321,Right,GAT_GRI,"Caufield, Tom",1000048797,Left,WAS_WIL3,Undefined,1,Top,2,1,0,Undefined,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,80.34819,1.380203,-2.921005,2171.824202,273.658035,3:00,4.61818,1.95411,5.27904,-44.05396,0.28902,17.28221,2.24527,0.64844,73.55975,-6.650824,0.142951,0.479274,,,,,,,,,,,,-9.4743,0.15988,-1.70057,50,4.71181,5.23993,-116.52004,1.25868,-13.02792,21.8521,-31.95422,GAT_GRI,WAS_WIL3,GrizzliesBP,Independent,FRONT,20250703-GrizzliesBP-1,f56a56d0-586a-11f0-be59-5d83470f2add,78.64486,,,6.78844,,,,,,,6959244b-e2d5-4f88-932a-4a9146e804ed,2025-07-04,00:08:04.91,2025-07-03T19:08:04.9188864-05:00,2025-07-04T00:08:04.9188864Z,,v3,,,,"Alvarez, Jose",672905,Right,GAT_GRI,6d5ad669-84e1-4e3a-9d66-6611bfe464a9,55.22419,-117.4957,10.92605,4.62377,2.68538,-15.97711,-1.94751,5.8216,-6.51396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
